,title,director,distributor,distributor_group,release_date,release_season,nation,screen,rev_nationwide,aud_nationwide,genre,rate,type,starring_actors,running_times,release_year,director_power,expert_rating,sequel,original,actor_power,before_news,after_news,holiday,dist_cat,audience_rating,rating_audiences
913,우리집,윤가은,롯데컬처웍스(주)롯데엔터테인먼트,A,20190822,summer,한국,147,444391340,56087,드라마,전체관람가,독립/예술영화,"김나연,김시아,주예림",92,2019,19823,6.9,0,0,6317659,117,226,0,A,9.14893617,47
914,허슬러,로렌 스카파리아,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",D,20191127,autumn,미국,445,356771960,43809,범죄,청소년관람불가,일반영화,"제니퍼 로페즈,콘스탄스 우,릴리 라인하트",110,2019,0,6.33,0,0,708057,15,149,0,C,8,19
915,빅트립: 아기팬더 배달 대모험,바실리 로벤스키,(주)트리플픽쳐스,D,20191023,autumn,미국,373,330035500,42914,애니메이션,전체관람가,독립/예술영화,"한으뜸,장다운",82,2019,0,0,0,0,0,2,33,0,C,5.5,10
916,레플리카,제프리 나흐마노프,(주)제이앤씨미디어그룹,D,20190925,autumn,미국,360,324884230,40985,범죄,15세이상관람가,일반영화,"키아누 리브스,앨리스 이브,토머스 미들디치",107,2019,0,4,0,0,324669,23,88,0,C,8.512820513,39
917,파비안느에 관한 진실,고레에다 히로카즈,(주)티캐스트,B,20191205,winter,프랑스,109,269114940,40647,드라마,12세이상관람가,독립/예술영화,"까뜨린느 드뇌브,줄리엣 비노쉬,에단 호크",107,2019,310932,6.86,0,0,1009095,24,88,0,B,7.75,12
918,주전장,미키 데자키,(주)시네마달,D,20190725,summer,미국,56,309500090,39980,다큐멘터리,전체관람가,독립/예술영화,-,121,2019,0,7.33,0,1,0,59,138,0,C,9.782608696,46
919,메기,이옥섭,"(주)엣나인필름,CGV아트하우스",D,20190926,autumn,한국,155,322021828,38108,미스터리,15세이상관람가,독립/예술영화,"이주영,문소리,구교환",89,2019,0,6.83,0,0,17143512,67,150,0,C,8.853658537,41
920,프란치스코 교황 : 맨 오브 히스 워드,빔 벤더스,"㈜영화사 백두대간,영화사 풀",D,20191121,autumn,기타,54,273031260,37282,다큐멘터리,전체관람가,독립/예술영화,프란치스코,96,2019,0,6.33,0,1,0,10,15,0,C,9.6,10
921,아이리시맨,마틴 스코세이지,판씨네마(주),D,20191120,autumn,미국,68,293466900,34723,범죄,청소년관람불가,독립/예술영화,"로버트 드 니로,알 파치노,조 페시",209,2019,94750,9.11,0,1,340008,33,189,0,C,8.870588235,85
922,빅 위시,카를로스 구티에레스 메드라노,(주)박수엔터테인먼트,D,20191030,autumn,기타,336,251990300,32684,판타지,전체관람가,일반영화,-,79,2019,0,6,0,0,0,12,88,0,C,6.5,4
923,너를 만난 여름,장적사,"오드,(주)홈초이스",D,20191016,autumn,기타,174,262940000,31888,드라마,12세이상관람가,독립/예술영화,"진비우,하람두",109,2019,0,5.5,0,0,0,28,177,0,C,8.428571429,63
924,100일 동안 100가지로 100퍼센트 행복찾기,플로리안 데이비드 핏츠,(주)영화사 진진,D,20190912,autumn,기타,37,254458770,31866,코미디,15세이상관람가,독립/예술영화,"플로리안 데이비드 핏츠,마치아스 슈와바이어퍼",111,2019,0,5.5,0,0,0,14,14,1,C,8.962962963,27
925,스파이더맨: 노 웨이 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,B,20211215,winter,미국,2948,75193912210,7551990,액션,12세이상관람가,일반영화,"톰 홀랜드,젠데이아 콜먼,베네딕트 컴버배치",148,2021,8020208,7.09,1,1,70755874,100,100,0,B,9.270186335,1610
926,모가디슈,류승완,롯데컬처웍스(주)롯데엔터테인먼트,A,20210728,summer,한국,1688,34558297730,3613984,액션,15세이상관람가,일반영화,"김윤석,조인성,허준호",121,2021,0,7.27,0,0,18197834,100,100,0,A,8.815642458,358
927,이터널스,클로이 자오,월트디즈니컴퍼니코리아 유한책임회사,B,20211103,autumn,미국,2648,31721584450,3049688,액션,12세이상관람가,일반영화,"안젤리나 졸리,마동석,리차드 매든",155,2021,85663,6.11,0,1,37926724,100,100,0,B,6.649350649,924
928,블랙 위도우,케이트 쇼트랜드,월트디즈니컴퍼니코리아 유한책임회사,B,20210707,summer,미국,2528,29987732620,2961507,액션,12세이상관람가,일반영화,"스칼렛 조핸슨,플로렌스 퓨,레이첼 와이즈",134,2021,0,6.7,1,0,26711225,100,100,0,B,9.118705036,556
929,분노의 질주: 더 얼티메이트,저스틴 린,유니버설픽쳐스인터내셔널 코리아(유),B,20210519,spring,미국,2297,22059658060,2292415,액션,12세이상관람가,일반영화,"빈 디젤,존 시나,성 강",142,2021,0,5.71,1,1,28852141,100,100,1,B,9.005208333,768
930,싱크홀,김지훈,(주)쇼박스,C,20210811,summer,한국,1603,21395652690,2195683,코미디,12세이상관람가,일반영화,"차승원,김성균,이광수",113,2021,0,5.17,0,0,21860986,100,100,0,A,8.117318436,179
931,베놈 2: 렛 데어 비 카니지,앤디 서키스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,B,20211013,autumn,미국,1998,21116442890,2123652,액션,15세이상관람가,일반영화,"톰 하디,미셸 윌리엄스",97,2021,25872,5.5,1,1,8154600,70,100,0,B,6.252173913,230
932,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,워터홀컴퍼니(주),,20210127,winter,일본,380,20656041700,2151861,애니메이션,15세이상관람가,일반영화,"하나에 나츠키,키토 아카리,시모노 히로",117,2021,0,6,1,1,1504,30,100,0,C,9.627983539,1215
933,크루엘라,크레이그 질레스피,월트디즈니컴퍼니코리아 유한책임회사,B,20210526,spring,미국,1184,19252879640,1983397,드라마,12세이상관람가,일반영화,엠마 스톤,133,2021,10261,6.63,0,1,301241,80,100,0,B,9.545180723,332
934,소울,피트 닥터,월트디즈니컴퍼니코리아 유한책임회사,B,20210120,winter,미국,2018,19034164180,2048137,애니메이션,전체관람가,일반영화,"제이미 폭스,티나 페이,다비드 딕스",107,2021,0,8.44,0,0,821470,100,100,0,B,9.367305752,991
935,샹치와 텐 링즈의 전설,데스틴 다니엘 크리튼,월트디즈니컴퍼니코리아 유한책임회사,B,20210901,autumn,미국,1784,17691789720,1739052,액션,12세이상관람가,일반영화,"시무 리우,양조위,아콰피나",132,2021,0,6.63,0,1,2737155,100,100,0,B,7.602446483,327
936,듄,드니 빌뇌브,워너브러더스 코리아(주),B,20211020,autumn,미국,1576,16903293110,1549346,SF,12세이상관람가,일반영화,"티모시 샬라메,레베카 퍼거슨,오스카 아이삭",155,2021,0,7.56,0,1,9748280,100,100,0,B,8.443902439,410
937,인질,필감성,(주)넥스트엔터테인먼트월드(NEW),C,20210818,summer,한국,1288,15585244870,1638439,액션,15세이상관람가,일반영화,"황정민,김재범,이유미",94,2021,0,6,0,0,12799953,100,100,0,A,7.641791045,134
